Game,TotalReward,WinRate
1,-18,0.61
2,-38,0.61
3,-74,0.61
4,6,0.61
5,-25,0.61
6,-29,0.61
7,-13,0.61
8,6,0.61
9,-70,0.61
10,6,0.61
11,-35,0.61
12,6,0.61
13,6,0.61
14,-24,0.61
15,-11,0.61
16,-32,0.61
17,-10,0.61
18,-10,0.61
19,6,0.61
20,-45,0.61
21,6,0.61
22,-9,0.61
23,-2,0.61
24,3,0.61
25,-46,0.61
26,-1,0.61
27,-72,0.61
28,-72,0.61
29,-22,0.61
30,-29,0.61
31,-15,0.61
32,-16,0.61
33,-147,0.61
34,-49,0.61
35,-6,0.61
36,-12,0.61
37,6,0.61
38,-7,0.61
39,6,0.61
40,-14,0.61
41,6,0.61
42,-133,0.61
43,6,0.61
44,-37,0.61
45,-15,0.61
46,-73,0.61
47,2,0.61
48,6,0.61
49,-26,0.61
50,-48,0.61
51,6,0.61
52,6,0.61
53,-156,0.61
54,0,0.61
55,-39,0.61
56,0,0.61
57,-73,0.61
58,6,0.61
59,-7,0.61
60,-44,0.61
61,-9,0.61
62,-13,0.61
63,-52,0.61
64,-13,0.61
65,-3,0.61
66,-34,0.61
67,-74,0.61
68,0,0.61
69,-6,0.61
70,-18,0.61
71,-19,0.61
72,-53,0.61
73,-80,0.61
74,-28,0.61
75,-35,0.61
76,6,0.61
77,-25,0.61
78,-5,0.61
79,-4,0.61
80,-29,0.61
81,-73,0.61
82,-13,0.61
83,-10,0.61
84,-10,0.61
85,6,0.61
86,-5,0.61
87,-167,0.61
88,6,0.61
89,-68,0.61
90,3,0.61
91,6,0.61
92,6,0.61
93,-7,0.61
94,2,0.61
95,6,0.61
96,-28,0.61
97,6,0.61
98,6,0.61
99,-4,0.61
100,-13,0.61
101,3,0.59
102,6,0.59
103,-14,0.59
104,6,0.59
105,-55,0.59
106,-81,0.59
107,-11,0.59
108,-54,0.59
109,6,0.59
110,0,0.59
111,-34,0.59
112,-20,0.59
113,0,0.59
114,-3,0.59
115,-8,0.59
116,6,0.59
117,6,0.59
118,-5,0.59
119,-49,0.59
120,6,0.59
121,-31,0.59
122,-10,0.59
123,-39,0.59
124,-154,0.59
125,-12,0.59
126,-3,0.59
127,6,0.59
128,-34,0.59
129,-96,0.59
130,-74,0.59
131,-39,0.59
132,3,0.59
133,6,0.59
134,-4,0.59
135,-59,0.59
136,-51,0.59
137,-18,0.59
138,3,0.59
139,6,0.59
140,-39,0.59
141,3,0.59
142,-22,0.59
143,-42,0.59
144,-105,0.59
145,-146,0.59
146,-69,0.59
147,-5,0.59
148,6,0.59
149,-45,0.59
150,-31,0.59
151,-10,0.59
152,-30,0.59
153,6,0.59
154,-106,0.59
155,-3,0.59
156,-25,0.59
157,6,0.59
158,-36,0.59
159,-8,0.59
160,-3,0.59
161,-24,0.59
162,-18,0.59
